,ID,group,full_ID,rnaseq_ID,sra,age,Q
15,1305,YMT16,YM.16wk.8,D16,SRR5344335,old,9.7189635490492
13,1009,YMT16,YM.16wk.3,D15,SRR5344336,old,10.7454922045622
14,1026,YMT16,YM.16wk.4,D14,SRR5344337,old,9.55946850706951
16,999,YMT16,YM.16wk.1,D13,SRR5344338,old,384.292833890906
5,1301,SMT16,SM.16wk.6,C12,SRR5344340,old,54.7499206313836
4,1298,SMT16,SM.16wk.5,C11,SRR5344341,old,16.1896104324963
3,1015,SMT16,SM.16wk.2,C10,SRR5344342,old,32.0174537375442
8,940,WT16,WT.16wk.7,B8,SRR5344343,old,11.7308904499004
7,938,WT16,WT.16wk.6,B7,SRR5344344,old,40.5067665514389
6,402,WT16,WT.16wk.2,B6,SRR5344345,old,14.8941783729232
12,1414,YI6,YI.6wk.4,A18,SRR5344347,young,181.300192366122
9,1403,YI6,YI.6wk.1,A17,SRR5344348,young,320.677234186574
11,1412,YI6,YI.6wk.3,A3,SRR5344349,young,564.300874132442
10,1409,YI6,YI.6wk.2,A2,SRR5344350,young,216.414723093
